u:\PHYS 402\Lab 4 (D2)\D2_data.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-27-2020
Current Time: 
10:57:36
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-27-2020
 Start Time:  10:39:38

Xpos 	Iobs 	Vobs 	Robs 
            0.0	       2.050443	      -0.004101	       -0.00586
       0.009725	       2.076454	      -0.004153	      -0.005912
       0.019725	       1.997057	      -0.003994	      -0.005753
        0.02975	       1.917025	      -0.003834	      -0.005593
        0.03975	       1.855067	       -0.00371	      -0.005469
       0.049725	        1.70863	      -0.003417	      -0.005177
       0.059725	       1.572643	      -0.003145	      -0.004905
        0.06975	        1.46878	      -0.002938	      -0.004697
        0.07975	       1.379749	      -0.002759	      -0.004519
        0.08975	       1.297241	      -0.002594	      -0.004354
       0.099725	       1.235371	      -0.002471	       -0.00423
       0.109725	       1.170725	      -0.002341	      -0.004101
        0.11975	       1.134417	      -0.002269	      -0.004028
        0.12975	       1.093398	      -0.002187	      -0.003946
        0.13975	       1.101926	      -0.002204	      -0.003963
       0.149725	       1.043403	      -0.002087	      -0.003846
       0.159725	        1.00452	      -0.002009	      -0.003768
        0.16975	       0.979972	       -0.00196	      -0.003719
        0.17975	       0.880874	      -0.001762	      -0.003521
        0.18975	       0.848427	      -0.001697	      -0.003456
       0.199725	       0.768203	      -0.001536	      -0.003296
       0.209725	       0.700517	      -0.001401	       -0.00316
        0.21975	       0.653095	      -0.001306	      -0.003065
        0.22975	       0.553302	      -0.001107	      -0.002866
        0.23975	       0.507507	      -0.001015	      -0.002774
        0.24975	       0.434261	      -0.000869	      -0.002628
       0.259725	         0.3885	      -0.000777	      -0.002536
        0.26975	       0.358244	      -0.000716	      -0.002476
        0.27975	       0.284423	      -0.000569	      -0.002328
        0.28975	       0.251927	      -0.000504	      -0.002263
       0.299725	       0.232719	      -0.000465	      -0.002225
       0.309725	       0.214469	      -0.000429	      -0.002188
        0.31975	       0.163186	      -0.000326	      -0.002086
        0.32975	       0.167908	      -0.000336	      -0.002095
        0.33975	       0.142866	      -0.000286	      -0.002045
       0.349725	       0.164238	      -0.000328	      -0.002088
       0.359725	       0.136107	      -0.000272	      -0.002031
        0.36975	       0.112419	      -0.000225	      -0.001984
        0.37975	       0.078071	      -0.000156	      -0.001915
        0.38975	       0.072556	      -0.000145	      -0.001904
        0.39975	       0.057598	      -0.000115	      -0.001874
       0.409725	       0.032512	      -0.000065	      -0.001824
       0.419725	       0.028881	      -0.000058	      -0.001817
        0.42975	       0.013704	      -0.000027	      -0.001787
        0.43975	       0.046419	      -0.000093	      -0.001852
        0.44975	       0.054081	      -0.000108	      -0.001867
        0.45975	       0.080536	      -0.000161	       -0.00192
        0.46975	       0.113196	      -0.000226	      -0.001986
        0.47975	       0.154697	      -0.000309	      -0.002069
        0.48975	       0.175734	      -0.000351	      -0.002111
        0.49975	       0.200228	        -0.0004	       -0.00216
       0.509725	       0.224371	      -0.000449	      -0.002208
        0.51975	       0.219261	      -0.000439	      -0.002198
        0.52975	       0.262421	      -0.000525	      -0.002284
        0.53975	        0.22476	       -0.00045	      -0.002209
       0.549725	       0.304157	      -0.000608	      -0.002368
       0.559725	       0.305625	      -0.000611	      -0.002371
       0.569725	       0.481792	      -0.000964	      -0.002723
        0.57975	       0.483638	      -0.000967	      -0.002727
        0.58975	       0.733752	      -0.001468	      -0.003227
        0.59975	       0.756307	      -0.001513	      -0.003272
       0.609725	       1.064397	      -0.002129	      -0.003888
        0.61975	       1.010584	      -0.002021	       -0.00378
        0.62975	       1.282409	      -0.002565	      -0.004324
        0.63975	       1.150016	        -0.0023	      -0.004059
        0.64975	       1.364994	       -0.00273	      -0.004489
       0.659725	       1.179965	       -0.00236	      -0.004119
        0.66975	       1.331468	      -0.002663	      -0.004422
        0.67975	       1.205592	      -0.002411	       -0.00417
        0.68975	       1.272331	      -0.002545	      -0.004304
       0.699725	       1.329852	       -0.00266	      -0.004419
       0.709725	       1.416649	      -0.002833	      -0.004593
        0.71975	       1.713395	      -0.003427	      -0.005186
        0.72975	       1.819783	       -0.00364	      -0.005399
        0.73975	        2.27138	      -0.004543	      -0.006302
       0.749725	       2.486572	      -0.004973	      -0.006732
       0.759725	       2.881655	      -0.005763	      -0.007523
        0.76975	       3.181453	      -0.006363	      -0.008122
        0.77975	       3.160568	      -0.006321	       -0.00808
        0.78975	       3.606419	      -0.007213	      -0.008972
        0.79975	       3.165059	       -0.00633	      -0.008089
       0.809725	        3.62015	       -0.00724	         -0.009
       0.819725	       3.089672	      -0.006179	      -0.007939
        0.82975	        3.28054	      -0.006561	       -0.00832
        0.83975	       3.219283	      -0.006439	      -0.008198
       0.849725	       3.038926	      -0.006078	      -0.007837
        0.85975	       3.678723	      -0.007357	      -0.009117
        0.86975	       3.498908	      -0.006998	      -0.008757
        0.87975	       4.327168	      -0.008654	      -0.010414
        0.88975	       4.644772	       -0.00929	      -0.011049
       0.899725	       5.090267	      -0.010181	       -0.01194
       0.909725	       5.876682	      -0.011753	      -0.013513
        0.91975	       5.944111	      -0.011888	      -0.013647
        0.92975	       6.360221	       -0.01272	       -0.01448
        0.93975	       6.645964	      -0.013292	      -0.015051
       0.949725	       6.177295	      -0.012355	      -0.014114
        0.95975	       6.483813	      -0.012968	      -0.014727
        0.96975	       6.141458	      -0.012283	      -0.014042
        0.97975	       5.583605	      -0.011167	      -0.012926
        0.98975	       6.220735	      -0.012441	      -0.014201
       0.999725	       5.468114	      -0.010936	      -0.012695
       1.009725	       6.006896	      -0.012014	      -0.013773
        1.01975	       6.890442	      -0.013781	       -0.01554
        1.02975	       6.463805	      -0.012928	      -0.014687
        1.03975	       8.214916	       -0.01643	      -0.018189
       1.049725	       8.624826	       -0.01725	      -0.019009
       1.059725	       8.756623	      -0.017513	      -0.019272
        1.06975	      10.472581	      -0.020945	      -0.022704
        1.07975	        9.93587	      -0.019872	      -0.021631
        1.08975	      10.102315	      -0.020205	      -0.021964
       1.099725	      10.736147	      -0.021472	      -0.023232
       1.109725	       9.602832	      -0.019206	      -0.020965
        1.11975	       9.420223	       -0.01884	        -0.0206
        1.12975	       9.494346	      -0.018989	      -0.020748
        1.13975	       8.837559	      -0.017675	      -0.019434
       1.149725	       8.595693	      -0.017191	      -0.018951
        1.15975	       9.413076	      -0.018826	      -0.020585
       1.169725	       9.862963	      -0.019726	      -0.021485
        1.17975	       9.875271	      -0.019751	       -0.02151
        1.18975	      11.765534	      -0.023531	       -0.02529
       1.199725	      13.024172	      -0.026048	      -0.027808
       1.209725	      12.496843	      -0.024994	      -0.026753
        1.21975	      14.539591	      -0.029079	      -0.030838
        1.22975	      15.629943	       -0.03126	      -0.033019
        1.23975	      13.783629	      -0.027567	      -0.029327
        1.24975	      14.887275	      -0.029775	      -0.031534
       1.259725	      15.425016	       -0.03085	      -0.032609
        1.26975	      12.841077	      -0.025682	      -0.027441
        1.27975	      12.752254	      -0.025505	      -0.027264
        1.28975	      13.779674	      -0.027559	      -0.029319
       1.299725	      12.195605	      -0.024391	       -0.02615
       1.309725	      11.938042	      -0.023876	      -0.025635
        1.31975	      13.745667	      -0.027491	      -0.029251
        1.32975	      14.625976	      -0.029252	      -0.031011
        1.33975	      14.926557	      -0.029853	      -0.031612
       1.349725	      16.337832	      -0.032676	      -0.034435
        1.35975	      18.167502	      -0.036335	      -0.038094
        1.36975	      19.421556	      -0.038843	      -0.040602
        1.37975	      19.041759	      -0.038084	      -0.039843
        1.38975	      18.796575	      -0.037593	      -0.039352
        1.39975	      20.218755	      -0.040438	      -0.042197
        1.40975	       19.69147	      -0.039383	      -0.041142
       1.419725	       16.75214	      -0.033504	      -0.035264
        1.42975	      16.308398	      -0.032617	      -0.034376
        1.43975	      18.075469	      -0.036151	       -0.03791
       1.449725	      16.760017	       -0.03352	      -0.035279
       1.459725	      14.385765	      -0.028772	      -0.030531
       1.469725	      16.147403	      -0.032295	      -0.034054
        1.47975	      19.788668	      -0.039577	      -0.041337
        1.48975	      19.777648	      -0.039555	      -0.041315
        1.49975	      18.764813	       -0.03753	      -0.039289
       1.509725	      21.455096	       -0.04291	      -0.044669
        1.51975	      24.792724	      -0.049585	      -0.051345
       1.529725	      24.510711	      -0.049021	      -0.050781
        1.53975	      22.852476	      -0.045705	      -0.047464
       1.549725	      22.917463	      -0.045835	      -0.047594
       1.559725	      23.166837	      -0.046334	      -0.048093
        1.56975	       22.52112	      -0.045042	      -0.046801
        1.57975	      21.161691	      -0.042323	      -0.044083
        1.58975	      19.440584	      -0.038881	       -0.04064
       1.599725	       17.95087	      -0.035902	      -0.037661
       1.609725	      18.745489	      -0.037491	       -0.03925
        1.61975	      21.200097	        -0.0424	      -0.044159
        1.62975	      22.555204	       -0.04511	       -0.04687
        1.63975	      21.240956	      -0.042482	      -0.044241
        1.64975	      21.168647	      -0.042337	      -0.044097
       1.659725	      25.258841	      -0.050518	      -0.052277
        1.66975	      29.991406	      -0.059983	      -0.061742
       1.679725	      29.746128	      -0.059492	      -0.061252
        1.68975	      25.795536	      -0.051591	       -0.05335
       1.699725	      24.082595	      -0.048165	      -0.049924
        1.70975	      26.349276	      -0.052699	      -0.054458
        1.71975	      28.054401	      -0.056109	      -0.057868
        1.72975	      25.809125	      -0.051618	      -0.053378
        1.73975	      21.910516	      -0.043821	       -0.04558
        1.74975	      19.704237	      -0.039408	      -0.041168
       1.759725	      20.400537	      -0.040801	       -0.04256
        1.76975	      22.166113	      -0.044332	      -0.046091
        1.77975	      23.949982	        -0.0479	      -0.049659
        1.78975	      25.518682	      -0.051037	      -0.052797
       1.799725	      27.482148	      -0.054964	      -0.056724
       1.809725	      28.442484	      -0.056885	      -0.058644
        1.81975	      27.963935	      -0.055928	      -0.057687
        1.82975	      27.324116	      -0.054648	      -0.056407
        1.83975	      28.491012	      -0.056982	      -0.058741
        1.84975	      31.583975	      -0.063168	      -0.064927
        1.85975	      33.323185	      -0.066646	      -0.068406
        1.86975	      31.371265	      -0.062743	      -0.064502
        1.87975	       25.71844	      -0.051437	      -0.053196
        1.88975	      20.676766	      -0.041354	      -0.043113
       1.899725	      18.919394	      -0.037839	      -0.039598
       1.909725	      21.226261	      -0.042453	      -0.044212
        1.91975	      25.583302	      -0.051167	      -0.052926
        1.92975	      29.431997	      -0.058864	      -0.060623
        1.93975	      30.511894	      -0.061024	      -0.062783
       1.949725	      29.377615	      -0.058755	      -0.060514
       1.959725	      27.884067	      -0.055768	      -0.057527
        1.96975	      27.494258	      -0.054989	      -0.056748
        1.97975	      28.535612	      -0.057071	       -0.05883
        1.98975	      30.062713	      -0.060125	      -0.061885
       1.999725	      30.588591	      -0.061177	      -0.062936
       2.009725	      29.907376	      -0.059815	      -0.061574
        2.01975	      29.232076	      -0.058464	      -0.060223
        2.02975	      28.875234	       -0.05775	       -0.05951
        2.03975	      29.053291	      -0.058107	      -0.059866
       2.049725	      29.206218	      -0.058412	      -0.060172
       2.059725	      28.552175	      -0.057104	      -0.058864
        2.06975	      26.948235	      -0.053896	      -0.055656
        2.07975	      24.404537	      -0.048809	      -0.050568
        2.08975	      21.600323	      -0.043201	       -0.04496
       2.099725	      20.043508	      -0.040087	      -0.041846
       2.109725	      20.707734	      -0.041415	      -0.043175
       2.119725	      24.111093	      -0.048222	      -0.049981
        2.12975	      29.543255	      -0.059087	      -0.060846
        2.13975	      35.239859	       -0.07048	      -0.072239
        2.14975	      39.423635	      -0.078847	      -0.080607
       2.159725	      40.848018	      -0.081696	      -0.083455
       2.169725	      39.344945	       -0.07869	      -0.080449
        2.17975	      36.034352	      -0.072069	      -0.073828
        2.18975	      32.191118	      -0.064382	      -0.066141
       2.199725	      28.755564	      -0.057511	       -0.05927
       2.209725	       26.85801	      -0.053716	      -0.055475
        2.21975	      26.263411	      -0.052527	      -0.054286
        2.22975	      27.075497	      -0.054151	       -0.05591
        2.23975	      28.552011	      -0.057104	      -0.058863
       2.249725	        30.4141	      -0.060828	      -0.062587
       2.259725	      31.374759	       -0.06275	      -0.064509
        2.26975	      31.249875	        -0.0625	      -0.064259
        2.27975	      29.326491	      -0.058653	      -0.060412
        2.28975	      25.900122	        -0.0518	      -0.053559
        2.29975	      21.142663	      -0.042285	      -0.044045
       2.309725	      16.062129	      -0.032124	      -0.033884
       2.319725	      11.448763	      -0.022898	      -0.024657
        2.32975	       7.509108	      -0.015018	      -0.016777
        2.33975	       4.733825	      -0.009468	      -0.011227
       2.349725	        2.97566	      -0.005951	      -0.007711
       2.359725	       2.121876	      -0.004244	      -0.006003
        2.36975	       1.855297	      -0.003711	       -0.00547
        2.37975	        2.08295	      -0.004166	      -0.005925
        2.38975	       2.687676	      -0.005375	      -0.007135
       2.399725	       3.648916	      -0.007298	      -0.009057
       2.409725	        4.89579	      -0.009792	      -0.011551
        2.41975	       6.229766	       -0.01246	      -0.014219
        2.42975	       7.537902	      -0.015076	      -0.016835
        2.43975	       8.593551	      -0.017187	      -0.018946
       2.449725	       9.026515	      -0.018053	      -0.019812
       2.459725	       8.828258	      -0.017657	      -0.019416
        2.46975	       7.983238	      -0.015966	      -0.017726
        2.47975	       6.513603	      -0.013027	      -0.014786
        2.48975	       4.806425	      -0.009613	      -0.011372
        2.49975	       3.105172	       -0.00621	       -0.00797
       2.509725	       1.844474	      -0.003689	      -0.005448
        2.51975	       1.327141	      -0.002654	      -0.004414
        2.52975	       1.741088	      -0.003482	      -0.005241
        2.53975	       3.157413	      -0.006315	      -0.008074
       2.549725	       5.611862	      -0.011224	      -0.012983
       2.559725	       8.767895	      -0.017536	      -0.019295
        2.56975	      12.173478	      -0.024347	      -0.026106
        2.57975	      15.782756	      -0.031566	      -0.033325
        2.58975	      18.931559	      -0.037863	      -0.039622
       2.599725	      21.248378	      -0.042497	      -0.044256
       2.609725	      22.706801	      -0.045414	      -0.047173
        2.61975	      23.187196	      -0.046374	      -0.048134
        2.62975	      22.934573	      -0.045869	      -0.047628
        2.63975	      22.207657	      -0.044415	      -0.046175
       2.649725	      21.609629	      -0.043219	      -0.044979
       2.659725	      21.422064	      -0.042844	      -0.044603
        2.66975	      22.048151	      -0.044096	      -0.045856
        2.67975	      23.783943	      -0.047568	      -0.049327
        2.68975	      25.937953	      -0.051876	      -0.053635
       2.699725	      28.276976	      -0.056554	      -0.058313
       2.709725	      29.907978	      -0.059816	      -0.061575
        2.71975	       30.05355	      -0.060107	      -0.061866
        2.72975	      28.236286	      -0.056473	      -0.058232
        2.73975	      24.766883	      -0.049534	      -0.051293
       2.749725	      20.026836	      -0.040054	      -0.041813
       2.759725	      15.639528	      -0.031279	      -0.033038
       2.769725	       12.57768	      -0.025155	      -0.026915
        2.77975	      11.579667	      -0.023159	      -0.024919
        2.78975	      12.648621	      -0.025297	      -0.027056
        2.79975	      15.132399	      -0.030265	      -0.032024
       2.809725	      17.504931	       -0.03501	      -0.036769
        2.81975	       18.92181	      -0.037844	      -0.039603
        2.82975	      18.757966	      -0.037516	      -0.039275
        2.83975	       17.80245	      -0.035605	      -0.037364
       2.849725	      16.681047	      -0.033362	      -0.035121
       2.859725	      16.458094	      -0.032916	      -0.034675
        2.86975	      17.091653	      -0.034183	      -0.035943
        2.87975	      17.892127	      -0.035784	      -0.037544
        2.88975	      17.685704	      -0.035371	      -0.037131
       2.899725	      16.362512	      -0.032725	      -0.034484
       2.909725	      14.618719	      -0.029237	      -0.030997
        2.91975	      13.878389	      -0.027757	      -0.029516
        2.92975	      14.611084	      -0.029222	      -0.030981
        2.93975	        16.0164	      -0.032033	      -0.033792
        2.94975	      16.548084	      -0.033096	      -0.034855
       2.959725	      14.767418	      -0.029535	      -0.031294
        2.96975	      11.648011	      -0.023296	      -0.025055
        2.97975	       9.101053	      -0.018202	      -0.019961
        2.98975	       9.379254	      -0.018759	      -0.020518
        2.99975	      12.228096	      -0.024456	      -0.026215
       3.009725	      15.637201	      -0.031274	      -0.033034
        3.01975	      16.764311	      -0.033529	      -0.035288
        3.02975	      15.395083	       -0.03079	      -0.032549
        3.03975	      13.176421	      -0.026353	      -0.028112
        3.04975	      12.024587	      -0.024049	      -0.025808
       3.059725	      12.302048	      -0.024604	      -0.026363
        3.06975	        12.5961	      -0.025192	      -0.026951
        3.07975	      12.006211	      -0.024012	      -0.025772
        3.08975	      10.926204	      -0.021852	      -0.023612
        3.09975	      10.334031	      -0.020668	      -0.022427
       3.109725	       9.999684	      -0.019999	      -0.021759
        3.11975	       9.124337	      -0.018249	      -0.020008
        3.12975	       7.950704	      -0.015901	      -0.017661
        3.13975	       8.244706	      -0.016489	      -0.018249
       3.149725	       10.24643	      -0.020493	      -0.022252
       3.159725	      11.952508	      -0.023905	      -0.025664
        3.16975	      11.169105	      -0.022338	      -0.024097
        3.17975	       9.069007	      -0.018138	      -0.019897
        3.18975	       8.769697	      -0.017539	      -0.019299
        3.19975	      10.764053	      -0.021528	      -0.023287
       3.209725	      11.977741	      -0.023955	      -0.025715
        3.21975	      10.264658	      -0.020529	      -0.022289
        3.22975	       7.566147	      -0.015132	      -0.016892
        3.23975	       6.914651	      -0.013829	      -0.015589
       3.249725	       7.856042	      -0.015712	      -0.017471
       3.259725	       7.781914	      -0.015564	      -0.017323
       3.269725	       6.644688	      -0.013289	      -0.015049
        3.27975	       6.052121	      -0.012104	      -0.013863
        3.28975	       6.505585	      -0.013011	       -0.01477
       3.299725	       6.881159	      -0.013762	      -0.015522
       3.309725	        7.14502	       -0.01429	      -0.016049
        3.31975	       7.566465	      -0.015133	      -0.016892
        3.32975	       7.453105	      -0.014906	      -0.016665
        3.33975	       6.731304	      -0.013463	      -0.015222
       3.349725	       6.855947	      -0.013712	      -0.015471
       3.359725	       7.738924	      -0.015478	      -0.017237
        3.36975	       7.014686	      -0.014029	      -0.015789
        3.37975	       5.176905	      -0.010354	      -0.012113
        3.38975	       4.996192	      -0.009992	      -0.011752
       3.399725	       5.982385	      -0.011965	      -0.013724
       3.409725	       5.087895	      -0.010176	      -0.011935
        3.41975	       3.732941	      -0.007466	      -0.009225
        3.42975	       4.258337	      -0.008517	      -0.010276
        3.43975	       5.222748	      -0.010445	      -0.012205
       3.449725	       4.435298	      -0.008871	       -0.01063
       3.459725	       4.006229	      -0.008012	      -0.009772
        3.46975	        4.87748	      -0.009755	      -0.011514
        3.47975	       5.144661	      -0.010289	      -0.012049
        3.48975	       4.491001	      -0.008982	      -0.010741
        3.49975	       4.326632	      -0.008653	      -0.010413
       3.509725	       4.395249	       -0.00879	       -0.01055
        3.51975	       4.078331	      -0.008157	      -0.009916
        3.52975	       3.765602	      -0.007531	       -0.00929
        3.53975	       3.223232	      -0.006446	      -0.008206
        3.54975	       2.942096	      -0.005884	      -0.007643
       3.559725	       3.145752	      -0.006292	      -0.008051
       3.569725	       2.695799	      -0.005392	      -0.007151
        3.57975	       2.291235	      -0.004582	      -0.006342
        3.58975	       2.937369	      -0.005875	      -0.007634
       3.599725	       2.844706	      -0.005689	      -0.007449
       3.609725	       2.273817	      -0.004548	      -0.006307
        3.61975	       2.969662	      -0.005939	      -0.007699
        3.62975	       3.103518	      -0.006207	      -0.007966
        3.63975	       2.314425	      -0.004629	      -0.006388
       3.649725	       2.651582	      -0.005303	      -0.007062
       3.659725	       2.786205	      -0.005572	      -0.007332
        3.66975	       1.997079	      -0.003994	      -0.005753
        3.67975	       2.006144	      -0.004012	      -0.005772
        3.68975	       2.036027	      -0.004072	      -0.005831
       3.699725	       1.538302	      -0.003077	      -0.004836
       3.709725	       1.528536	      -0.003057	      -0.004816
        3.71975	       1.511113	      -0.003022	      -0.004781
        3.72975	       1.369118	      -0.002738	      -0.004497
        3.73975	       1.297718	      -0.002595	      -0.004355
       3.749725	       1.399494	      -0.002799	      -0.004558
       3.759725	       1.453263	      -0.002907	      -0.004666
        3.76975	       1.246523	      -0.002493	      -0.004252
        3.77975	       1.425292	      -0.002851	       -0.00461
        3.78975	       1.436005	      -0.002872	      -0.004631
       3.799725	       1.089789	       -0.00218	      -0.003939
       3.809725	       1.345758	      -0.002692	      -0.004451
        3.81975	       1.103865	      -0.002208	      -0.003967
        3.82975	       0.845847	      -0.001692	      -0.003451
        3.83975	       1.065257	      -0.002131	       -0.00389
       3.849725	       0.689907	       -0.00138	      -0.003139
       3.859725	       0.730466	      -0.001461	       -0.00322
        3.86975	       0.756564	      -0.001513	      -0.003272
        3.87975	       0.515164	       -0.00103	       -0.00279
        3.88975	       0.690165	       -0.00138	       -0.00314
        3.89975	        0.55512	       -0.00111	      -0.002869
       3.909725	       0.536755	      -0.001074	      -0.002833
        3.91975	       0.628481	      -0.001257	      -0.003016
        3.92975	       0.494362	      -0.000989	      -0.002748
        3.93975	       0.516851	      -0.001034	      -0.002793
       3.949725	       0.473878	      -0.000948	      -0.002707
       3.959725	       0.405879	      -0.000812	      -0.002571
        3.96975	       0.396787	      -0.000794	      -0.002553
        3.97975	       0.349103	      -0.000698	      -0.002457
        3.98975	       0.254112	      -0.000508	      -0.002267
       3.999725	       0.303456	      -0.000607	      -0.002366
       4.009725	         0.2123	      -0.000425	      -0.002184
        4.01975	       0.242813	      -0.000486	      -0.002245
        4.02975	       0.238656	      -0.000477	      -0.002237
        4.03975	       0.213675	      -0.000427	      -0.002187
       4.049725	       0.257925	      -0.000516	      -0.002275
       4.059725	       0.155847	      -0.000312	      -0.002071
        4.06975	       0.242813	      -0.000486	      -0.002245
        4.07975	        0.14417	      -0.000288	      -0.002048
        4.08975	       0.174842	       -0.00035	      -0.002109
       4.099725	       0.122469	      -0.000245	      -0.002004
       4.109725	       0.112627	      -0.000225	      -0.001985
        4.11975	       0.119528	      -0.000239	      -0.001998
        4.12975	       0.090855	      -0.000182	      -0.001941
        4.13975	       0.090258	      -0.000181	       -0.00194
        4.14975	       0.060347	      -0.000121	       -0.00188
       4.159725	       0.068727	      -0.000137	      -0.001897
        4.16975	       0.074467	      -0.000149	      -0.001908
        4.17975	       0.061629	      -0.000123	      -0.001883
        4.18975	       0.072457	      -0.000145	      -0.001904
       4.199725	       0.072994	      -0.000146	      -0.001905
       4.209725	       0.068946	      -0.000138	      -0.001897
        4.21975	       0.041407	      -0.000083	      -0.001842
        4.22975	       0.063047	      -0.000126	      -0.001885
        4.23975	       0.044847	       -0.00009	      -0.001849
       4.249725	       0.077189	      -0.000154	      -0.001914
       4.259725	       0.050483	      -0.000101	       -0.00186
        4.26975	       0.099071	      -0.000198	      -0.001957
        4.27975	       0.057154	      -0.000114	      -0.001874
        4.28975	       0.084693	      -0.000169	      -0.001929
       4.299725	        0.06113	      -0.000122	      -0.001882
       4.309725	       0.114308	      -0.000229	      -0.001988
        4.31975	       0.075574	      -0.000151	       -0.00191
        4.32975	       0.097236	      -0.000194	      -0.001954
