u:\PHYS 402\Lab 4 (D2)\DoubleSlitrun3_04mmwidth_5mmspace_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
11:18:56
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-13-2020
 Start Time:  11:02:52

Xpos 	Iobs 	Vobs 	Robs 
            0.0	       8.651324	      -0.017303	      -0.018949
       0.009725	       8.439868	       -0.01688	      -0.018526
        0.01975	       7.395556	      -0.014791	      -0.016437
        0.02975	       5.546645	      -0.011093	       -0.01274
        0.03975	       3.534312	      -0.007069	      -0.008715
        0.04975	       1.744944	       -0.00349	      -0.005136
       0.059725	       0.746859	      -0.001494	       -0.00314
        0.06975	       0.894873	       -0.00179	      -0.003436
        0.07975	       2.028216	      -0.004056	      -0.005703
        0.08975	       3.906649	      -0.007813	       -0.00946
        0.09975	       6.305488	      -0.012611	      -0.014257
       0.109725	       8.628501	      -0.017257	      -0.018903
        0.11975	       9.784547	      -0.019569	      -0.021215
        0.12975	      10.069364	      -0.020139	      -0.021785
        0.13975	       9.251494	      -0.018503	      -0.020149
       0.149725	       7.452299	      -0.014905	      -0.016551
       0.159725	       4.981715	      -0.009963	       -0.01161
        0.16975	       2.950832	      -0.005902	      -0.007548
        0.17975	       1.439833	       -0.00288	      -0.004526
        0.18975	       0.962461	      -0.001925	      -0.003571
       0.199725	       1.668778	      -0.003338	      -0.004984
       0.209725	       3.483841	      -0.006968	      -0.008614
        0.21975	       5.692491	      -0.011385	      -0.013031
        0.22975	       7.959675	      -0.015919	      -0.017566
        0.23975	       9.695938	      -0.019392	      -0.021038
       0.249725	      10.441504	      -0.020883	      -0.022529
       0.259725	       9.967933	      -0.019936	      -0.021582
        0.26975	       8.596208	      -0.017192	      -0.018839
        0.27975	       6.491788	      -0.012984	       -0.01463
        0.28975	       4.325503	      -0.008651	      -0.010297
       0.299725	       2.468623	      -0.004937	      -0.006583
       0.309725	       1.438722	      -0.002877	      -0.004524
        0.31975	       1.489697	      -0.002979	      -0.004626
        0.32975	       2.481889	      -0.004964	       -0.00661
        0.33975	        4.28207	      -0.008564	       -0.01021
        0.34975	       6.287485	      -0.012575	      -0.014221
       0.359725	       8.084029	      -0.016168	      -0.017814
        0.36975	        9.08471	      -0.018169	      -0.019816
        0.37975	       9.120908	      -0.018242	      -0.019888
        0.38975	       8.353597	      -0.016707	      -0.018353
       0.399725	       6.813143	      -0.013626	      -0.015273
        0.40975	        4.86187	      -0.009724	       -0.01137
        0.41975	       3.170301	      -0.006341	      -0.007987
        0.42975	       1.965251	      -0.003931	      -0.005577
        0.43975	       1.523009	      -0.003046	      -0.004692
        0.44975	       1.833778	      -0.003668	      -0.005314
       0.459725	       2.874573	      -0.005749	      -0.007395
        0.46975	       4.250132	        -0.0085	      -0.010147
        0.47975	       5.443072	      -0.010886	      -0.012532
        0.48975	       6.459725	      -0.012919	      -0.014566
       0.499725	       6.747133	      -0.013494	      -0.015141
       0.509725	       6.547764	      -0.013096	      -0.014742
        0.51975	       5.739852	       -0.01148	      -0.013126
        0.52975	       4.650742	      -0.009301	      -0.010948
        0.53975	       3.421012	      -0.006842	      -0.008488
        0.54975	        2.38921	      -0.004778	      -0.006425
       0.559725	       1.814558	      -0.003629	      -0.005275
        0.56975	       1.677865	      -0.003356	      -0.005002
        0.57975	       1.873728	      -0.003747	      -0.005394
        0.58975	       2.282652	      -0.004565	      -0.006212
        0.59975	       2.949128	      -0.005898	      -0.007544
       0.609725	       3.443852	      -0.006888	      -0.008534
        0.61975	       3.790851	      -0.007582	      -0.009228
        0.62975	       3.736255	      -0.007473	      -0.009119
        0.63975	       3.526535	      -0.007053	      -0.008699
       0.649725	       3.197709	      -0.006395	      -0.008042
        0.65975	       2.799443	      -0.005599	      -0.007245
        0.66975	       2.321249	      -0.004642	      -0.006289
        0.67975	       2.019962	       -0.00404	      -0.005686
        0.68975	       1.750421	      -0.003501	      -0.005147
        0.69975	       1.522073	      -0.003044	       -0.00469
       0.709725	       1.315338	      -0.002631	      -0.004277
        0.71975	       1.207082	      -0.002414	       -0.00406
        0.72975	       1.191757	      -0.002384	       -0.00403
        0.73975	       1.165499	      -0.002331	      -0.003977
       0.749725	        1.22807	      -0.002456	      -0.004102
       0.759725	       1.281987	      -0.002564	       -0.00421
        0.76975	       1.350271	      -0.002701	      -0.004347
        0.77975	       1.632131	      -0.003264	       -0.00491
        0.78975	       1.726907	      -0.003454	        -0.0051
       0.799725	       1.798045	      -0.003596	      -0.005242
       0.809725	        1.77693	      -0.003554	        -0.0052
        0.81975	        1.64446	      -0.003289	      -0.004935
        0.82975	       1.365355	      -0.002731	      -0.004377
        0.83975	       0.981987	      -0.001964	       -0.00361
       0.849725	        0.56074	      -0.001121	      -0.002768
       0.859725	       0.202967	      -0.000406	      -0.002052
        0.86975	       0.153234	      -0.000306	      -0.001953
        0.87975	        0.11622	      -0.000232	      -0.001879
        0.88975	       0.273808	      -0.000548	      -0.002194
