u:\PHYS 402\Lab 4 (D2)\SingleSlitrun2_04mm_current.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
10:57:47
Total Number of Data Points:     
500
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-13-2020
 Start Time:  10:41:11

Xpos 	Iobs 	Vobs 	Robs 
            0.0	       1.076972	      -0.002154	      -0.003974
           0.01	       1.123818	      -0.002248	      -0.004067
       0.020025	       1.085949	      -0.002172	      -0.003992
       0.030025	       1.180069	       -0.00236	       -0.00418
       0.040025	       1.213605	      -0.002427	      -0.004247
           0.05	       1.080319	      -0.002161	       -0.00398
           0.06	       1.221262	      -0.002443	      -0.004262
       0.070025	       1.195952	      -0.002392	      -0.004212
       0.080025	       1.278071	      -0.002556	      -0.004376
       0.090025	       1.324671	      -0.002649	      -0.004469
            0.1	       1.279654	      -0.002559	      -0.004379
           0.11	        1.28362	      -0.002567	      -0.004387
       0.120025	       1.331862	      -0.002664	      -0.004484
       0.130025	       1.392363	      -0.002785	      -0.004605
       0.140025	       1.394132	      -0.002788	      -0.004608
           0.15	       1.361521	      -0.002723	      -0.004543
           0.16	       1.400321	      -0.002801	       -0.00462
       0.170025	       1.341721	      -0.002683	      -0.004503
       0.180025	       1.425379	      -0.002851	      -0.004671
       0.190025	       1.441772	      -0.002884	      -0.004703
            0.2	       1.364703	      -0.002729	      -0.004549
           0.21	       1.372744	      -0.002745	      -0.004565
       0.220025	       1.433929	      -0.002868	      -0.004688
       0.230025	        1.43314	      -0.002866	      -0.004686
       0.240025	         1.4709	      -0.002942	      -0.004762
       0.250025	       1.413423	      -0.002827	      -0.004647
           0.26	        1.37517	       -0.00275	       -0.00457
       0.270025	       1.437467	      -0.002875	      -0.004695
       0.280025	       1.431716	      -0.002863	      -0.004683
       0.290025	       1.453154	      -0.002906	      -0.004726
       0.300025	       1.386919	      -0.002774	      -0.004594
           0.31	       1.400064	        -0.0028	       -0.00462
       0.320025	       1.392807	      -0.002786	      -0.004605
       0.330025	       1.426968	      -0.002854	      -0.004674
       0.340025	       1.389274	      -0.002779	      -0.004598
           0.35	       1.418445	      -0.002837	      -0.004657
       0.360025	       1.388168	      -0.002776	      -0.004596
       0.370025	        1.41058	      -0.002821	      -0.004641
       0.380025	        1.39394	      -0.002788	      -0.004608
       0.390025	       1.396279	      -0.002793	      -0.004612
       0.400025	       1.316663	      -0.002633	      -0.004453
           0.41	       1.334179	      -0.002668	      -0.004488
       0.420025	       1.341469	      -0.002683	      -0.004503
       0.430025	       1.308935	      -0.002618	      -0.004438
       0.440025	       1.362463	      -0.002725	      -0.004545
           0.45	       1.318635	      -0.002637	      -0.004457
           0.46	       1.302609	      -0.002605	      -0.004425
       0.470025	        1.33051	      -0.002661	      -0.004481
       0.480025	       1.254191	      -0.002508	      -0.004328
       0.490025	       1.320755	      -0.002642	      -0.004461
            0.5	       1.327661	      -0.002655	      -0.004475
           0.51	       1.252225	      -0.002504	      -0.004324
       0.520025	        1.29103	      -0.002582	      -0.004402
       0.530025	       1.297679	      -0.002595	      -0.004415
       0.540025	       1.261782	      -0.002524	      -0.004343
           0.55	       1.247837	      -0.002496	      -0.004315
           0.56	       1.268097	      -0.002536	      -0.004356
       0.570025	       1.154364	      -0.002309	      -0.004129
       0.580025	       1.166222	      -0.002332	      -0.004152
       0.590025	        1.20247	      -0.002405	      -0.004225
            0.6	       1.201145	      -0.002402	      -0.004222
           0.61	       1.132795	      -0.002266	      -0.004085
       0.620025	       1.091503	      -0.002183	      -0.004003
       0.630025	       1.125084	       -0.00225	       -0.00407
       0.640025	       1.046278	      -0.002093	      -0.003912
           0.65	       1.042488	      -0.002085	      -0.003905
           0.66	       1.093245	      -0.002186	      -0.004006
       0.670025	       0.962018	      -0.001924	      -0.003744
       0.680025	       0.982289	      -0.001965	      -0.003784
       0.690025	        0.98121	      -0.001962	      -0.003782
            0.7	       0.910653	      -0.001821	      -0.003641
       0.710025	       0.958633	      -0.001917	      -0.003737
       0.720025	       0.877894	      -0.001756	      -0.003576
