u:\PHYS 402\Lab 4 (D2)\Wirerun6_04mmwidth_27mmgauge_current.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-27-2020
Current Time: 
11:17:09
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-27-2020
 Start Time:  11:03:23

Xpos 	Iobs 	Vobs 	Robs 
            0.0	       1.219482	      -0.002439	      -0.004255
       0.009725	       1.175046	       -0.00235	      -0.004166
       0.019725	       1.163758	      -0.002328	      -0.004144
        0.02975	       1.080554	      -0.002161	      -0.003977
        0.03975	       1.075378	      -0.002151	      -0.003967
        0.04975	        0.99711	      -0.001994	       -0.00381
       0.059725	       0.943001	      -0.001886	      -0.003702
        0.06975	       0.874811	       -0.00175	      -0.003566
        0.07975	       0.845519	      -0.001691	      -0.003507
       0.089725	       0.745605	      -0.001491	      -0.003307
       0.099725	       0.775291	      -0.001551	      -0.003367
       0.109725	       0.686944	      -0.001374	       -0.00319
        0.11975	       0.723762	      -0.001448	      -0.003264
        0.12975	        0.61917	      -0.001238	      -0.003054
        0.13975	       0.665041	       -0.00133	      -0.003146
       0.149725	       0.570407	      -0.001141	      -0.002957
       0.159725	       0.603423	      -0.001207	      -0.003023
        0.16975	       0.506658	      -0.001013	      -0.002829
        0.17975	        0.57056	      -0.001141	      -0.002957
        0.18975	       0.439952	       -0.00088	      -0.002696
       0.199725	        0.49652	      -0.000993	      -0.002809
       0.209725	       0.358868	      -0.000718	      -0.002534
        0.21975	       0.406218	      -0.000812	      -0.002628
        0.22975	       0.318847	      -0.000638	      -0.002454
        0.23975	        0.30178	      -0.000604	       -0.00242
       0.249725	       0.268216	      -0.000536	      -0.002352
       0.259725	        0.24823	      -0.000496	      -0.002313
        0.26975	       0.211654	      -0.000423	      -0.002239
        0.27975	       0.159363	      -0.000319	      -0.002135
        0.28975	       0.148732	      -0.000297	      -0.002114
        0.29975	       0.132974	      -0.000266	      -0.002082
       0.309725	       0.095357	      -0.000191	      -0.002007
        0.31975	       0.092345	      -0.000185	      -0.002001
        0.32975	       0.048884	      -0.000098	      -0.001914
        0.33975	       0.116461	      -0.000233	      -0.002049
        0.34975	       0.036182	      -0.000072	      -0.001888
       0.359725	       0.087163	      -0.000174	       -0.00199
        0.36975	        0.05963	      -0.000119	      -0.001935
        0.37975	       0.059602	      -0.000119	      -0.001935
        0.38975	       0.061065	      -0.000122	      -0.001938
       0.399725	       0.003527	      -0.000007	      -0.001823
       0.409725	       0.030201	       -0.00006	      -0.001876
       0.419725	      -0.016338	       0.000033	      -0.001783
        0.42975	      -0.025704	       0.000051	      -0.001765
        0.43975	        0.00327	      -0.000007	      -0.001823
        0.44975	       -0.02933	       0.000059	      -0.001757
       0.459725	       0.005976	      -0.000012	      -0.001828
        0.46975	       0.024921	       -0.00005	      -0.001866
        0.47975	       0.026624	      -0.000053	      -0.001869
       0.489725	       0.085033	       -0.00017	      -0.001986
       0.499725	       0.080859	      -0.000162	      -0.001978
       0.509725	        0.09516	       -0.00019	      -0.002006
        0.51975	       0.132635	      -0.000265	      -0.002081
        0.52975	       0.077288	      -0.000155	      -0.001971
        0.53975	       0.090959	      -0.000182	      -0.001998
        0.54975	       0.178101	      -0.000356	      -0.002172
       0.559725	       0.107018	      -0.000214	       -0.00203
       0.569725	        0.17505	       -0.00035	      -0.002166
        0.57975	       0.243273	      -0.000487	      -0.002303
        0.58975	       0.196181	      -0.000392	      -0.002208
        0.59975	        0.44745	      -0.000895	      -0.002711
       0.609725	       0.420623	      -0.000841	      -0.002657
        0.61975	       0.475554	      -0.000951	      -0.002767
        0.62975	       0.730975	      -0.001462	      -0.003278
        0.63975	       0.582396	      -0.001165	      -0.002981
       0.649725	       0.680969	      -0.001362	      -0.003178
        0.65975	       0.750846	      -0.001502	      -0.003318
        0.66975	       0.596237	      -0.001192	      -0.003009
        0.67975	       0.655752	      -0.001312	      -0.003128
        0.68975	       0.674013	      -0.001348	      -0.003164
       0.699725	       0.585874	      -0.001172	      -0.002988
        0.70975	       0.617888	      -0.001236	      -0.003052
        0.71975	       0.797145	      -0.001594	       -0.00341
        0.72975	       0.896955	      -0.001794	       -0.00361
        0.73975	       0.894079	      -0.001788	      -0.003604
       0.749725	       1.304488	      -0.002609	      -0.004425
        0.75975	       1.531324	      -0.003063	      -0.004879
        0.76975	       1.342116	      -0.002684	        -0.0045
        0.77975	       1.858211	      -0.003716	      -0.005532
        0.78975	       2.022444	      -0.004045	      -0.005861
       0.799725	       1.566564	      -0.003133	      -0.004949
       0.809725	       1.926396	      -0.003853	      -0.005669
        0.81975	       2.051401	      -0.004103	      -0.005919
        0.82975	       1.463303	      -0.002927	      -0.004743
       0.839725	       1.563875	      -0.003128	      -0.004944
       0.849725	       1.930948	      -0.003862	      -0.005678
        0.85975	       1.596409	      -0.003193	      -0.005009
        0.86975	       1.594957	       -0.00319	      -0.005006
        0.87975	       2.150516	      -0.004301	      -0.006117
        0.88975	        2.38812	      -0.004776	      -0.006592
        0.89975	       2.419625	      -0.004839	      -0.006655
       0.909725	       2.804553	      -0.005609	      -0.007425
        0.91975	       3.245278	      -0.006491	      -0.008307
        0.92975	       3.529169	      -0.007058	      -0.008874
        0.93975	       3.393424	      -0.006787	      -0.008603
        0.94975	       3.313759	      -0.006628	      -0.008444
       0.959725	       3.710606	      -0.007421	      -0.009237
        0.96975	       3.638373	      -0.007277	      -0.009093
        0.97975	       2.857052	      -0.005714	       -0.00753
        0.98975	       2.797323	      -0.005595	      -0.007411
       0.999725	       3.525768	      -0.007052	      -0.008868
       1.009725	        3.30999	       -0.00662	      -0.008436
        1.01975	       2.660373	      -0.005321	      -0.007137
        1.02975	       3.273923	      -0.006548	      -0.008364
        1.03975	       4.563091	      -0.009126	      -0.010942
        1.04975	       4.611153	      -0.009222	      -0.011038
        1.05975	       4.137626	      -0.008275	      -0.010091
        1.06975	       4.961335	      -0.009923	      -0.011739
        1.07975	       6.079742	      -0.012159	      -0.013976
        1.08975	       5.913477	      -0.011827	      -0.013643
        1.09975	       5.243008	      -0.010486	      -0.012302
        1.10975	       5.265947	      -0.010532	      -0.012348
        1.11975	       5.443143	      -0.010886	      -0.012702
        1.12975	       5.282783	      -0.010566	      -0.012382
        1.13975	       4.949017	      -0.009898	      -0.011714
        1.14975	       4.570354	      -0.009141	      -0.010957
       1.159725	       4.248128	      -0.008496	      -0.010312
       1.169725	       4.630619	      -0.009261	      -0.011077
        1.17975	       5.718151	      -0.011436	      -0.013252
        1.18975	         6.4405	      -0.012881	      -0.014697
        1.19975	       6.062713	      -0.012125	      -0.013941
        1.20975	       5.873302	      -0.011747	      -0.013563
       1.219725	       7.248391	      -0.014497	      -0.016313
        1.22975	        9.11818	      -0.018236	      -0.020052
        1.23975	       9.152889	      -0.018306	      -0.020122
        1.24975	         7.3502	        -0.0147	      -0.016516
        1.25975	       6.575446	      -0.013151	      -0.014967
       1.269725	       7.449199	      -0.014898	      -0.016714
        1.27975	       8.329487	      -0.016659	      -0.018475
        1.28975	       7.699248	      -0.015398	      -0.017215
       1.299725	       6.328224	      -0.012656	      -0.014472
        1.30975	       5.662481	      -0.011325	      -0.013141
        1.31975	       6.126106	      -0.012252	      -0.014068
        1.32975	       7.146729	      -0.014293	       -0.01611
       1.339725	       8.026201	      -0.016052	      -0.017868
        1.34975	       8.790367	      -0.017581	      -0.019397
       1.359725	       9.583985	      -0.019168	      -0.020984
        1.36975	      10.037164	      -0.020074	       -0.02189
        1.37975	       9.841504	      -0.019683	      -0.021499
        1.38975	       9.362023	      -0.018724	       -0.02054
       1.399725	       9.581942	      -0.019164	       -0.02098
       1.409725	      10.721934	      -0.021444	       -0.02326
        1.41975	      11.606472	      -0.023213	      -0.025029
        1.42975	      11.001521	      -0.022003	      -0.023819
        1.43975	       8.986433	      -0.017973	      -0.019789
       1.449725	       6.881148	      -0.013762	      -0.015578
       1.459725	       6.189756	       -0.01238	      -0.014196
        1.46975	       7.273514	      -0.014547	      -0.016363
        1.47975	        9.55862	      -0.019117	      -0.020933
        1.48975	      11.661567	      -0.023323	      -0.025139
        1.49975	      12.661881	      -0.025324	       -0.02714
        1.50975	      12.199724	      -0.024399	      -0.026215
        1.51975	      11.348389	      -0.022697	      -0.024513
        1.52975	      10.946935	      -0.021894	       -0.02371
