u:\PHYS 402\Lab 4 (D2)\SemiPlanerun4_04mmslitwidth_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
12:12:23
Total Number of Data Points:     
3000
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
0.001
 Start Date:  10-13-2020
 Start Time:  11:43:30

Xpos 	Iobs 	Vobs 	Robs 
        1.00075	       2.923879	      -0.005848	      -0.007501
        1.00175	       2.979806	       -0.00596	      -0.007612
        1.00275	       2.983985	      -0.005968	      -0.007621
       1.003775	       3.077091	      -0.006154	      -0.007807
        1.00475	       3.054624	      -0.006109	      -0.007762
       1.005775	       3.107407	      -0.006215	      -0.007868
        1.00675	       3.168882	      -0.006338	      -0.007991
        1.00775	       3.179629	      -0.006359	      -0.008012
        1.00875	       3.164019	      -0.006328	      -0.007981
        1.00975	       3.196953	      -0.006394	      -0.008047
        1.01075	        3.30006	        -0.0066	      -0.008253
       1.011775	       3.352745	      -0.006705	      -0.008358
        1.01275	       3.369034	      -0.006738	      -0.008391
       1.013775	       3.295262	      -0.006591	      -0.008243
        1.01475	       3.388051	      -0.006776	      -0.008429
       1.015775	       3.393889	      -0.006788	      -0.008441
        1.01675	       3.434272	      -0.006869	      -0.008521
       1.017775	       3.366356	      -0.006733	      -0.008386
       1.018775	       3.403255	      -0.006807	      -0.008459
        1.01975	       3.393845	      -0.006788	      -0.008441
       1.020775	       3.402401	      -0.006805	      -0.008458
       1.021775	       3.426769	      -0.006854	      -0.008506
       1.022775	        3.45445	      -0.006909	      -0.008562
       1.023775	       3.465213	       -0.00693	      -0.008583
       1.024775	       3.463904	      -0.006928	      -0.008581
       1.025775	       3.461116	      -0.006922	      -0.008575
       1.026775	        3.46885	      -0.006938	      -0.008591
       1.027775	       3.516884	      -0.007034	      -0.008687
       1.028775	       3.576569	      -0.007153	      -0.008806
       1.029775	        3.51649	      -0.007033	      -0.008686
       1.030775	       3.624833	       -0.00725	      -0.008902
       1.031775	       3.646873	      -0.007294	      -0.008947
       1.032775	       3.655155	       -0.00731	      -0.008963
       1.033775	       3.700336	      -0.007401	      -0.009053
       1.034775	       3.682267	      -0.007365	      -0.009017
       1.035775	        3.69252	      -0.007385	      -0.009038
       1.036775	       3.790692	      -0.007581	      -0.009234
       1.037775	       3.719435	      -0.007439	      -0.009092
       1.038775	       3.857212	      -0.007714	      -0.009367
       1.039775	       3.882298	      -0.007765	      -0.009417
       1.040775	        3.90666	      -0.007813	      -0.009466
       1.041775	        3.90166	      -0.007803	      -0.009456
       1.042775	       3.896988	      -0.007794	      -0.009447
       1.043775	       4.018586	      -0.008037	       -0.00969
       1.044775	       3.973125	      -0.007946	      -0.009599
       1.045775	       4.006755	      -0.008014	      -0.009666
       1.046775	       4.034502	      -0.008069	      -0.009722
       1.047775	       4.061034	      -0.008122	      -0.009775
        1.04875	       4.125954	      -0.008252	      -0.009905
       1.049775	       4.210461	      -0.008421	      -0.010074
        1.05075	       4.199682	      -0.008399	      -0.010052
        1.05175	       4.178157	      -0.008356	      -0.010009
        1.05275	       4.206178	      -0.008412	      -0.010065
        1.05375	       4.224948	       -0.00845	      -0.010103
       1.054775	       4.302209	      -0.008604	      -0.010257
        1.05575	       4.290017	       -0.00858	      -0.010233
       1.056775	       4.333692	      -0.008667	       -0.01032
        1.05775	       4.342378	      -0.008685	      -0.010338
        1.05875	       4.380675	      -0.008761	      -0.010414
       1.059775	       4.401033	      -0.008802	      -0.010455
        1.06075	       4.400316	      -0.008801	      -0.010453
       1.061775	       4.360902	      -0.008722	      -0.010375
       1.062775	       4.430506	      -0.008861	      -0.010514
        1.06375	       4.364742	      -0.008729	      -0.010382
       1.064775	       4.455975	      -0.008912	      -0.010565
       1.065775	       4.375986	      -0.008752	      -0.010405
       1.066775	       4.385982	      -0.008772	      -0.010425
       1.067775	       4.494742	      -0.008989	      -0.010642
       1.068775	        4.41598	      -0.008832	      -0.010485
       1.069775	       4.440179	       -0.00888	      -0.010533
       1.070775	       4.511748	      -0.009023	      -0.010676
       1.071775	       4.484576	      -0.008969	      -0.010622
       1.072775	       4.576335	      -0.009153	      -0.010805
       1.073775	       4.655431	      -0.009311	      -0.010964
       1.074775	       4.659577	      -0.009319	      -0.010972
       1.075775	       4.655825	      -0.009312	      -0.010964
        1.07675	       4.770259	      -0.009541	      -0.011193
       1.077775	       4.797207	      -0.009594	      -0.011247
       1.078775	       4.767378	      -0.009535	      -0.011188
       1.079775	        4.79151	      -0.009583	      -0.011236
       1.080775	       4.857422	      -0.009715	      -0.011368
       1.081775	       4.935538	      -0.009871	      -0.011524
       1.082775	       4.949061	      -0.009898	      -0.011551
       1.083775	       4.961384	      -0.009923	      -0.011576
       1.084775	       5.083788	      -0.010168	       -0.01182
       1.085775	       5.037539	      -0.010075	      -0.011728
       1.086775	       5.142037	      -0.010284	      -0.011937
       1.087775	        5.21485	       -0.01043	      -0.012083
       1.088775	       5.133011	      -0.010266	      -0.011919
       1.089775	       5.155861	      -0.010312	      -0.011965
       1.090775	       5.301176	      -0.010602	      -0.012255
       1.091775	       5.205019	       -0.01041	      -0.012063
       1.092775	       5.251268	      -0.010503	      -0.012155
       1.093775	        5.32292	      -0.010646	      -0.012299
       1.094775	       5.252106	      -0.010504	      -0.012157
       1.095775	       5.323983	      -0.010648	      -0.012301
       1.096775	       5.303536	      -0.010607	       -0.01226
       1.097775	       5.299155	      -0.010598	      -0.012251
        1.09875	       5.295545	      -0.010591	      -0.012244
       1.099775	       5.330161	       -0.01066	      -0.012313
        1.10075	       5.383322	      -0.010767	      -0.012419
        1.10175	       5.376623	      -0.010753	      -0.012406
        1.10275	       5.335687	      -0.010671	      -0.012324
